dim1,dim2,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5
0,0,0.7969011,0.4981434,0.9229596,0.6358039,3.0,0.9970119
0,1,0.69001204,0.46965343,0.80289096,0.5834716,2.0,0.99990904
0,2,0.5668512,0.4669903,0.66652924,0.58664215,1.0,0.9978148
0,3,0.8359071,0.48032618,0.97953266,0.73699987,0.0,0.9998753
0,4,0.9737879,0.4111282,0.9971966,0.4331371,0.0,0.99999833
0,5,0.0026034564,0.69806653,0.033114284,0.79775053,0.0,0.9999845
0,6,0.0058853356,0.07199705,0.03366525,0.17249127,0.0,0.99999464
0,7,0.6183786,0.18821467,0.726432,0.3198058,0.0,0.99999976
0,8,0.5387522,-0.018367104,0.88619924,0.21541372,0.0,0.99999154
0,9,0.62958306,0.8493376,0.7978881,0.9740166,0.0,0.99995434
0,10,0.019225232,0.39415523,0.08221753,0.52042174,0.0,0.9999969
0,11,0.76632035,0.867091,0.950341,0.98559326,0.0,0.99995434
0,12,0.97282565,0.3970468,0.9995037,0.41915038,0.0,0.9999988
0,13,0.7980863,-0.020560145,0.9859241,0.23181206,0.0,0.99997926
0,14,0.78586394,0.36854252,0.8890108,0.46434462,0.0,0.9999919
0,15,0.5130787,0.2112964,0.59288204,0.34069723,0.0,1.0
0,16,0.01740601,0.1971232,0.08516093,0.32752514,0.0,0.99998784
0,17,0.5669817,0.49137667,0.623635,0.5775179,0.0,0.9999981
0,18,0.8482899,0.46951798,0.916208,0.6229983,0.0,1.0
0,19,0.8519666,0.6307417,0.91939795,0.7225412,0.0,0.9999988
1,0,0.66153806,0.37109035,0.7703843,0.4836009,2.0,0.9990689
1,1,0.7744326,0.39427477,0.88341606,0.5341588,3.0,0.9990614
1,2,0.5531879,0.35983524,0.64461106,0.47588897,1.0,0.9989322
1,3,0.9747466,0.8195629,0.9985557,0.84363043,0.0,0.9999969
1,4,0.7964471,0.6790846,0.99983364,0.9867634,0.0,0.99997926
1,5,0.6542947,0.3505628,0.6809199,0.38506418,0.0,0.9992791
1,6,0.014536165,0.2514551,0.056765758,0.34429336,0.0,0.9999995
1,7,0.9735037,0.8836116,0.99773145,0.9055801,0.0,0.99999905
1,8,0.77426124,0.8648324,0.9486295,0.99115354,0.0,0.999985
1,9,0.5626794,0.14521539,0.6598823,0.2468698,0.0,0.99999964
1,10,0.9747493,0.7579345,0.9994503,0.7820484,0.0,0.99999535
1,11,-0.0010284856,-0.037524045,0.1767084,0.358879,0.0,0.9999809
1,12,0.50006485,0.28076378,0.6575122,0.38806242,0.0,0.9999995
1,13,0.6636263,0.51689595,0.75216866,0.61964124,0.0,0.99999964
1,14,0.0048898812,0.69276863,0.023879295,0.80756825,0.0,0.9999734
1,15,0.7863536,0.349243,0.89646715,0.4634237,0.0,0.99999976
1,16,0.017088646,0.018273294,0.07361712,0.09893174,0.0,0.999984
1,17,0.6671698,0.335973,0.7026391,0.372897,0.0,0.99992466
1,18,0.97352135,0.8682683,0.99743086,0.89022046,0.0,0.99999857
1,19,0.90220803,0.03606886,0.99020404,0.1491806,0.0,1.0
2,0,0.6599404,0.38648593,0.77867055,0.49545085,1.0,0.9979062
2,1,0.7823834,0.5201812,0.88193816,0.63628757,3.0,0.99262685
2,2,0.74983853,0.43732023,0.87172806,0.54836863,2.0,0.9996631
2,3,0.97272074,0.80776477,1.0025419,0.82662857,0.0,0.99999714
2,4,0.67306745,-0.008350939,0.9750819,0.24614441,0.0,0.9999089
